ID,projects,UTC of create,UTC of last modify,UTC of buggy commit,UTC of fix commit,defect file hash,fix file hash
19,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2020-11-11T01:00:44Z,2021-06-28T17:15:43Z,83224c74297a3765b44844d7b648912e4a011040edbbdbb0a78d96d3d8049266,3be7ea77b5454d15df7f871f4d2ddcdd893eca66e14708cd928934eb1bff0509
20,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2019-11-26T06:52:39Z,2020-02-21T20:29:09Z,7ef87167ae7d44adca82aa140d6577fbe5ba2ba0de7919c825de34521b2cf735,c5d756a8beac233631eac44ebed0b60e0e544ba6af4e716ad9c0064b8f435362
21,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2020-02-06T19:19:52Z,2020-02-18T23:28:21Z,0709198994fa450f65cf5132d70f7429dddd77ebb340e2f8a1f091ca15a2899e,efd0c5af7ef2d3f8a4b7e5bb3289adc99a69581e2bbe3bf0bfb430f738672441
22,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2018-06-27T06:23:17Z,2018-07-21T15:53:34Z,708a40f2a5d3dc7fd4acc6bed2f7e9e22cb85f122bb6df692b5c297308cd7115,1dcf1c645e278a1519d286bd5f6ee838a6796b6505df841d1dde1a5f79d93f4d
23,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2012-12-21T17:43:46Z,2017-05-26T22:19:53Z,762ecd9d557c6a1de47bd7ef16f2ba48ec894069e87ba897be536b0997e373a0,0e3dfc7552d86d46cebc814e154f47852ddfd8f160786b7db732003e909467e9
24,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2012-12-21T17:43:46Z,2017-05-04T20:16:07Z,379093f1559a3090f59835fdf4aad82c967a93067cefee7ec428b323f80c357a,7b3e3f301a830e2f1d9ef7ea705f9ad86ad2b2ebe483b676b8bdbbc22923c5fc
25,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2017-03-20T23:00:01Z,2017-03-21T20:28:15Z,b1bea27426a241b87b7b020ee9fd827751a5b539234f57299ce64220f23239d3,84342777308fdec123b34501a4fe85d9da18421171f85455e9d46f844db40ffc
26,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2017-03-10T00:42:30Z,2017-03-21T20:28:15Z,f551a55b3984969042bd963b1d6c88e1e235313b0dad0cede6991baef60bc98d,00eef18cfd03b86b37c682bdaff76366d6adb1865fda258c33e0e4cf26a051a3
27,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2012-12-21T17:43:46Z,2016-10-17T14:34:03Z,226cf3eeb3a222b3938ac322dfae323b5a212a00ade8d5ae9bc606e6156eec8e,57614e366169dce40a78261a3e16a6650050318da7a4525060dc13a3c4b249fb
28,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2016-09-23T22:52:55Z,2016-10-17T14:40:00Z,226cf3eeb3a222b3938ac322dfae323b5a212a00ade8d5ae9bc606e6156eec8e,57614e366169dce40a78261a3e16a6650050318da7a4525060dc13a3c4b249fb
29,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2015-10-28T17:26:39Z,2015-10-29T17:32:09Z,a15114c6eb62e1aaabfbc6fa0c06f7ae95154c973915c481c099c688cb0d2ebb,4e22d9408516df4cb80d5eefd329d6d431ff22e3a2f4ab3c2ef852073fdbbaf6
30,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2015-09-02T22:57:50Z,2015-10-29T17:32:09Z,2b4875c64f75ca4b5fe6003890d9fb57024dd98088e4530e6ac29744dd1b6eba,55e9c9c9f38aa2cd3cd785791f27c147dc4608c186748368ca033c51eef2cf2a
31,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2015-09-30T22:37:27Z,2015-10-14T17:44:04Z,b9c67e8cbbf05ad525bf94205633aa67c748753cf7670879996f611b4f578545,db32180268fa19a1550aeb325479a5d8d9e73b4938d6eb4def93e1741526086e
32,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2014-10-19T05:20:08Z,2014-10-29T17:05:40Z,f8d0c3e542617bb18cb62b55349a5dc809f315cf3d0cc5e4ece177b0301d640f,03d6fae215e9c8963cb1f63664c55f9380646cac68e414f9126b5ae63fff0ecd
33,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2014-10-19T05:20:08Z,2014-10-21T23:23:48Z,121bb81b63349311ad1e78443d824416ccf3db74974f1a1c4ce46e8838a6d654,d19386881d10cbeb620e25467e65b371b0502fe6c954bbefe8c98b9886abded4
34,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2014-08-07T13:30:42Z,2014-08-17T07:27:13Z,bdd6580e8c9cc71fd1a51494386ac8899f562832e409e5699686bb2fa760dd98,436130ec9a02d550628f0e703c83b9384983a3b5e4c1404c9add37e7a337264d
35,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2014-08-07T13:30:42Z,2014-08-17T07:27:13Z,bdd6580e8c9cc71fd1a51494386ac8899f562832e409e5699686bb2fa760dd98,436130ec9a02d550628f0e703c83b9384983a3b5e4c1404c9add37e7a337264d
36,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2014-08-15T22:58:43Z,2014-08-17T04:01:32Z,c9ee98209a42dcfbbe3f5207513a2efbcd4ee62716770f1183df75a7ea59c2ca,add4ae0f7011114808a9df0ddeef4dcfbd2f26909997b9a0ce99b3be71db302d
37,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2020-02-27T23:29:55Z,2020-08-18T03:03:15Z,eb94dd3d954ffe1073b1c3d7f6d95746c607dc396091b005c76c1d4d3df102a9,6cf615a4a2e2d0dadb1171d64ea1dc81fd5965b611419c191982fa7720902ada
38,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2017-12-05T15:55:41Z,2018-01-16T00:10:22Z,7df372bcfd8d0f22edc4f490e6068da9af65673ac05138cba4c05751ee9487a8,f822a0af08a6871cacd5c614d344a67a14d3d45e969cee8b94956f2a71125bb9
39,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2016-09-20T16:47:27Z,2016-10-19T20:13:17Z,bbb51383afcc502998a7a4e435bbbc069533b523ca04816aeb91d7f86301d10c,23b9919f26c8a864f13abfff64ac4810ae926b59ac23255a3f22b06b174c7369
40,amitshekhariitbhu/Android-Debug-Database,2016-11-16T14:20:24Z,2023-01-18T08:06:22Z,2017-04-24T03:42:46Z,2017-04-24T04:04:51Z,2d8a517728a8ae62587518d914756850a5862b49dccd28e1e4d05b59566eac90,7268ec15fd656a7afde3d83fcfff7a4491158f30ffde48e1ea5fddb354ec0a1f
41,androidx/media,2021-09-02T18:42:10Z,2023-06-23T18:15:13Z,2020-11-19T17:12:33Z,2021-02-23T15:06:38Z,f0333d725b3589bcecfe397ec68abc9cb44df52e795b1d04fbe4f841518d32b8,9f7e1bd10bbf53c4132220263bed829adeed7c4b32008d55e359b036349759e7
42,androidx/media,2021-09-02T18:42:10Z,2023-06-23T18:15:13Z,2016-11-10T21:14:29Z,2016-11-10T21:15:35Z,41936fc547a53604fd24bd56136652a20235eb854f9c8c7d8890a07bd03ab2df,27455904a473aeb740460baeb98895fb70af4f25cf0992d760bcd3186100e375
43,AntennaPod/AntennaPod,2012-07-31T10:25:08Z,2023-06-21T12:39:00Z,2015-11-01T14:02:49Z,2015-11-07T14:30:20Z,8fba849c63957d82b5b5e234b9744317186f2be0e916ebe975cd87c316fb0c85,4928e53bb9376217a35feee5d70b05e8c524938dfa0a13174e7d84bcd7f8ec81
44,antlr/stringtemplate4,2010-02-04T01:37:35Z,2023-04-06T21:26:45Z,2012-12-10T19:51:01Z,2012-12-10T19:56:45Z,cd70179369c82feb9f8e8f65063aedc4f92c8e1cbe5314d4b283f8ca841ebf75,e18c8129235a7045b1a97aa5f37f47ca8ed82da6f258b7464bc2c2b85b736527
45,ant-media/Ant-Media-Server,2017-03-01T08:21:13Z,2023-06-21T19:10:48Z,2020-05-27T19:02:26Z,2020-05-27T23:34:10Z,a139b132b1b1c01145f085e8bd34777b79d14973931805b7a9176e738ff95da7,7a50927ee10155e27efd920b0fbdca20db0fe716c26f51a44fc13816bddcda23
46,AnySoftKeyboard/AnySoftKeyboard,2012-04-18T12:38:01Z,2023-06-19T17:29:33Z,2012-12-16T03:36:29Z,2013-02-18T03:17:48Z,af4942212fb5723fb2099597f7e70af156e88e0047d827ad8e6c75bdd0cf630d,228591d33ad73e962ed85a378c1ada3fcba57dd2b90fef9378521a663c7723d6
47,AnySoftKeyboard/AnySoftKeyboard,2012-04-18T12:38:01Z,2023-07-18T11:54:59Z,2012-12-16T03:36:29Z,2013-02-18T03:17:48Z,af4942212fb5723fb2099597f7e70af156e88e0047d827ad8e6c75bdd0cf630d,228591d33ad73e962ed85a378c1ada3fcba57dd2b90fef9378521a663c7723d6
48,AnySoftKeyboard/AnySoftKeyboard,2012-04-18T12:38:01Z,2023-07-18T11:54:59Z,2011-01-14T16:25:49Z,2011-01-14T19:55:12Z,9f9d79b45c9c64158208291cb0c896e0283a53819871e89cb9591bb46eb6b06c,565f89445c99a0b897b131237526973a46f08c1c1be7cbd8120e9160ab189160
49,AnySoftKeyboard/AnySoftKeyboard,2012-04-18T12:38:01Z,2023-07-18T11:54:59Z,2013-01-18T03:51:28Z,2013-01-30T20:02:06Z,9d1ee3621e470aa3eb7883ba2ba6feec659977b9cab07cc6ba057fc6d59be30f,5b17da55e2ef0c7d58e0b50bb106cb291658ee919079a2d03763ef578517ff24
50,apache/avro,2009-05-21T02:48:37Z,2023-06-22T06:53:24Z,2020-05-22T21:24:34Z,2022-01-17T07:11:41Z,b5dcb9d32fc7a5f376ead6302725d6bd320ff09f9148cf0297a1ce251a43b855,19a3f80188382160e772bd82340f5426ede364e86672ad3fe762f0416bf95303
51,apache/avro,2009-05-21T02:48:37Z,2023-06-22T06:53:24Z,2016-05-02T15:28:11Z,2017-06-16T07:18:40Z,de00b494cce84ed7c9f90d51dad5e20ded2747ee6e6a9279ba981ecfea5b0f09,1d3b0d475926f41f5e07b73fc49369e19ce672bb56e40624a8c4bd449baa422e
52,apache/beam,2016-02-02T08:00:06Z,2023-06-21T20:14:36Z,2020-02-18T22:23:09Z,2020-02-21T00:58:54Z,a3558b1c16a57f630f3657a4c2d5e4dc6cc9dcdbe7387d29ecf956df7a800707,9246fe34786415c416f3c3bfa50e593ff9d494e56fb5e141d985cb71aaa7276a
53,apache/beam,2016-02-02T08:00:06Z,2023-06-21T20:14:36Z,2017-01-27T06:54:00Z,2017-04-08T04:55:17Z,7db66d8a4a5a1d0fc0baf1e116c57885f786ee095ef9059ce7265fbdf757ff95,62b18e969d420aa3b60d9d64922d001ba3c664da550ffbdf2383611f4213735c
54,apache/beam,2016-02-02T08:00:06Z,2023-06-21T20:14:36Z,2017-01-27T06:54:00Z,2017-04-08T04:55:17Z,7db66d8a4a5a1d0fc0baf1e116c57885f786ee095ef9059ce7265fbdf757ff95,62b18e969d420aa3b60d9d64922d001ba3c664da550ffbdf2383611f4213735c
55,apache/beam,2016-02-02T08:00:06Z,2023-06-21T20:14:36Z,2017-01-27T06:54:00Z,2017-04-08T04:55:17Z,7db66d8a4a5a1d0fc0baf1e116c57885f786ee095ef9059ce7265fbdf757ff95,62b18e969d420aa3b60d9d64922d001ba3c664da550ffbdf2383611f4213735c
56,apache/beam,2016-02-02T08:00:06Z,2023-06-21T20:14:36Z,2017-01-27T06:54:00Z,2017-04-08T04:55:17Z,7db66d8a4a5a1d0fc0baf1e116c57885f786ee095ef9059ce7265fbdf757ff95,62b18e969d420aa3b60d9d64922d001ba3c664da550ffbdf2383611f4213735c
57,apache/beam,2016-02-02T08:00:06Z,2023-06-21T20:14:36Z,2016-02-02T08:00:06Z,2015-01-29T22:30:37Z,7d04dffdbd5347c900f62e5626d8dadeafe6e7f461758cba851ac9e1fb99e28e,2152269647c5a7689e8cfecf1e00f094c547b5fa0b01b5be0d4c92d9095b31d6
58,apache/bookkeeper,2011-04-06T07:00:07Z,2023-06-23T02:32:26Z,2021-05-25T21:56:31Z,2021-09-27T20:35:08Z,4cc10bc909b11c87a39cb501fd1d04058a2e84e8e6c5625c259ac86398bc7776,96600bd7e6190e334a9c1ada5c6129fac242dcc1498d2ca32909026f25411a02
59,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2015-07-28T15:23:44Z,2015-07-28T15:26:29Z,e47a1f61dc73896906e9892ff49a3aab81314a6e19e0d711ecc0540e1ede1b03,c95a614ad12cfbc52690a63329d9de0c031c35e4b47f57051cfe2f5ffa55b360
60,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2015-07-20T13:05:57Z,2015-07-28T15:23:44Z,92ee6e8664cbc52bd41bed38256260f050a1e59ca5f0d4bdd3f055d7526a8201,e47a1f61dc73896906e9892ff49a3aab81314a6e19e0d711ecc0540e1ede1b03
61,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2015-06-18T10:36:44Z,2015-07-27T12:43:11Z,f91192f04440220bdcca0034737744c2d16398ef943e22b155b1bab4f38d1f42,6b3dc00e294ccec8501687a76f9a336a02f595304b7e39f2c4e54db8bb0f528a
62,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2014-07-28T12:42:42Z,2015-07-27T12:43:10Z,7dbcfe3be7a3a6e2c235671d50ddc699d382eee9583ca5cf5f2fea16c980dd2d,8d89ace82c9638ee1d4c8b23b9537c164a2fc170a0df62f06c8ef8af52ea6e4f
63,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2014-11-23T18:49:01Z,2015-07-14T09:53:22Z,735f23cb2f38080c35e3235d5ec4da74075eff6a8d2685af83d7351255f6f8cb,2f8975f8f6aef5b9aa08c19d3d4b619b4954c9b82b85c887e83013af126b767c
64,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2014-11-23T18:49:01Z,2015-07-09T19:30:24Z,07aab51e4b6b6cc49237db326277a6e688fd758ef57b19abc3e9220f71f5937f,a1982e192d6fa0e98619f84ab0e094e39734f318692b574a4e207c008044e1b1
65,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2015-06-17T20:38:19Z,2015-07-09T19:30:23Z,b65621cb99eb6d098b6f47483c21bbfb1744cf56b5cb40a591fa1a8b34a3b52c,c0fa321502188dfea07678dea736a9ba896d696ba9cc0ae7f660e03718be1ead
66,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2015-07-06T12:58:17Z,2015-07-09T19:30:23Z,d5bd73e4f9e891466a2c19a991cd0c9d5152eeea97bbdd899a471728b6ddd6f7,24503cea7b99284f63946e11b563bb2f5d48f873c2ccb53c5862cfbf0441aa66
67,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2014-11-18T13:12:44Z,2014-11-18T14:48:31Z,32164c4b1bb9a71f3fb821008a5b44bd2513ef3d7ec34c199afd13f9541bda3d,7076d9e7a5529f9672eab1540f10bc054e87da718d05e4d6c28498048d8dbfc0
68,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2014-09-30T11:16:28Z,2014-10-13T12:21:02Z,3210f8340bc5ae6fd684b4cdf857d4f0d95e16e94b755d90d0ee98196c3241cb,eaf831159de6f441cd04745b43f073c4e9441104bc99daaf1302d8101950b762
69,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2014-07-23T18:37:36Z,2014-09-16T14:43:32Z,d825e70a7c10efde47fff833c21944710f7d9bfd0d426c9ea99d5b2ce17578b6,f3c18892661bea04618de032da1f79793d5b88a7e6cfe1876cbb089574810276
70,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2014-06-21T10:38:46Z,2014-06-24T21:19:47Z,49649b289efb97f1dd78cd053319dd029dadcedc5815608657f27d402193d9d8,6466bec84c2261d2fab1e0416fcfb4d0346cda4e04eb17a4d30f9b6f6f4823c4
71,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2014-06-03T13:39:28Z,2014-06-06T15:38:18Z,8cc872777a938ac96bce30a5bd7958b15d5393d7804852ab985bb9bd1ae2433f,516101fa7bff528a7ff16233eaa9cd41eedc43c609f9ee144d0eb06ab1b67b9d
72,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2014-05-05T06:09:10Z,2014-06-03T14:52:58Z,edff4bb087dd73904387eca20fcc85659a943b7caa879bb092a9f5aeeda9d1f2,6c243cbea33749295d8e50c90339db5f9b6a9f5caa34844e7948d8b5cb6d205d
73,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2014-02-09T15:50:10Z,2014-02-09T17:27:54Z,79011fab659cdedc530a0465cf81da2da06efda27e0f05667e4d31d6f551b567,806299dc895369c9dbf8c6158d30e9d6428b46e0338f19bc1fbe7475eae0a330
74,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2013-10-23T18:14:42Z,2013-11-07T15:23:20Z,4cba928da0ae7fb6a4538a2c7b1de29614cbb3ecef0fbeca7fcad9530f1aca7a,73bbafa12ef6b22dd68333f9157442440be3e96c03f45c06c2fd17860206f2ce
75,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2013-11-21T14:15:26Z,2013-11-26T07:22:29Z,71903c232e44de85dacd194e43cbbb1ec6480fd7689696aef7cc93de894bb52f,8eb056d15636af141d572ebae416940d168f007cb4aa464b4b9f25fcfa01c461
76,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2015-04-16T12:06:52Z,2015-07-19T12:47:05Z,626414712f244557e0e8ccc5dee8d4b5ca7cc591b7573bf85c48744c68169738,62f32e5da66eb8da5acc1fd552c092dfb0aca9a44d35101919801de58d73f1f8
77,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2015-07-01T10:33:26Z,2015-07-27T12:43:11Z,98e35224b7683224cfa64520c149a9a2267a6d41ab87691ae415a5594808642b,5b8c663872eb01139163fb20b7eeb1093b825325be63955dd68abd434ab86140
78,apache/cloudstack,2013-04-29T22:27:12Z,2023-06-23T11:46:15Z,2013-11-21T14:15:26Z,2015-07-09T19:30:24Z,9483af396c8f16dd6e8096feb01cd534174d4660cb58ff5d97838925dd0112e2,ffa6295d02d63935b58f684e5a3812e1579fef7d8d933ee3d8f696b8b7eeeac6
79,apache/dolphinscheduler,2019-03-01T16:39:25Z,2023-06-21T10:29:10Z,2019-03-01T16:39:25Z,2020-10-22T05:35:57Z,3dfa2aa23a1ebdb18a93aa45065e01040464dde4f4cfc80244b93f3006570bf9,b56ae944ce9203dee3435ded6acd6c353307e4cd961a62bf97fd65b2af3093e1
80,apache/dolphinscheduler,2019-03-01T16:39:25Z,2023-06-21T10:29:10Z,2019-11-12T12:36:44Z,2020-02-06T11:32:31Z,581f5fff3472f1fefa47f3d29d3968999b597560132142dabc7651ed04b6f05a,412c15a5f09e4f7742d3cc0bd7680051e9ee5013c11c472cd65a427ab90b732b
81,apache/dolphinscheduler,2019-03-01T16:39:25Z,2023-06-21T10:29:10Z,2020-01-04T10:01:10Z,2020-01-07T13:53:55Z,159c71e3d589a7834f3261d6349bbc1917a4803dfa8fcd2fb3026234043bcffa,4fa246914bab82b8c2bece0b8ace5c316d92a3086e9d400cc13e2a7cac0a6ce3
82,apache/dolphinscheduler,2019-03-01T16:39:25Z,2023-06-21T10:29:10Z,2022-07-11T01:57:00Z,2022-07-15T12:06:53Z,7397e329ab6fed1749362619b33f59482160b4c60da2a39f245ba741bc1714d2,24c75571ba2866583a1154a4900eae9e20d2a29640f016d16fc117449af8fad2
83,apache/drill,2012-09-05T07:00:26Z,2023-06-21T17:27:08Z,2017-06-03T04:43:14Z,2017-06-19T09:19:55Z,6c08a8834e978e4da18d9911fc7e57e0203eabaec359da968a638e499de2719b,849310acf99aae04cfa03b43f39f03f5e6b550468390fe1cf9010fd59368f6f2
84,apache/drill,2012-09-05T07:00:26Z,2023-06-21T17:27:08Z,2016-03-02T22:08:51Z,2016-07-12T18:42:47Z,fbd1b88f3ffa899a77a66810d6919ee0ff1f4865ca96a3c7d6354d152e84523b,b16ad833601f6bb86214db2abe2d8564221dff2e7589b9bc29edfac687af8a45
85,apache/drill,2012-09-05T07:00:26Z,2023-06-21T17:27:08Z,2016-04-13T21:39:12Z,2016-12-19T22:49:36Z,98117775a2e1d1bf6cdaf596c0deb088790ee0e222effe16e71435e7e26e6972,83fe75199bc790cc3b7dfc1e09356bea424ebd737233444f4970eb86ffd0893d
86,apache/druid,2012-10-23T19:08:07Z,2023-06-21T12:37:43Z,2019-07-18T20:16:28Z,2020-06-03T01:26:06Z,8a3eb1f32d35862afe728101b5450239e65e285cf92b8e1008e262b40d9194ad,73bb7a86a0a59149acd515461d962aca221c963791ec2aeb5204c0f1a6116d99
87,apache/druid,2012-10-23T19:08:07Z,2023-06-21T12:37:43Z,2020-04-22T01:44:26Z,2020-06-03T01:26:18Z,c59472fc36daab284b6d59d7c8fc6c5fa20c5a02a3085a2f69ef5e71239e4db9,33be7db97347595715ce22810fd9b1f799ce94a23836ad3ad73c782f64c0ecde
88,apache/druid,2012-10-23T19:08:07Z,2023-06-21T12:37:43Z,2019-12-12T01:30:44Z,2020-05-16T16:57:12Z,0e4a321ee4267f92b9a233f680c3d1d2ecd1dc2883d76198753bfbf99779d987,fc77f5e52ccdc714a9dd80118495d559068a544512f7fc51c4fa0acb301a9d32
